"MP name","Nature of membership","Start of term","End of term","State","Constituency","Political party","Gender","Educational qualifications","Educational qualifications - details","age","Age","Debates","DebatesFormula","debates","Private Member Bills","Private Member BillsFormula","private member bills","Questions","QuestionFormula","questions","Attendance","attendance","AttendanceFormula","Notes","National Debates average","National Private Member Bills average","National Questions average","National Attendance average","State's Debates average","State's Private Member Bills  average","State's Questions average","State's Attendance average","Latitude","Longitude","LongitudeNS"
"Shruti Choudhry","Elected","18/05/2009","In office","Haryana","Bhiwani-Mahendragarh","Indian National Congress","Female","Graduate","B.A., LL.B.; Educated at Univeristy of Delhi and B.R. Ambedkar University, Agra",36,36,12,27,27,0,2,2,423,508,508,"80%",1,1," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",8.7,0.1,149,"69%",28.732237,75.9703409473445,-75.970341
"Sidhant Mohapatra","Elected","18/05/2009","In office","Orissa","Berhampur","Biju Janata Dal","Male","Post Graduate","M.B.A.; Educated at Institute of Marketing and Management",46,46,2,17,17,0,2,2,4,89,89,"63%",0.83,0.83," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",27.4,0.6,279,"76%",15.19765,76.4173838209143,-76.417384
"Sisir Kumar Adhikari","Elected","18/05/2009","In office","West Bengal","Kanthi","All India Trinamool Congress","Male","Inter/ Higher Secondary","I.Sc.",70,70,-3,12,12,-1,1,1,-10,75,75,-0.1,0.1,0.1,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",26.434991,80.2621041276595,-80.262104
"Sivakumar @ J.K. Ritheesh. K","Elected","18/05/2009","In office","Tamil Nadu","Ramanthapuram","Dravida Munnetra Kazhagam","Male","Graduate","B.E. (Civil), D.C.E.,; Educated at Alagappa Engneering College, Karaikudi, Tamil Nadu",39,39,15,30,30,0,2,2,106,191,191,"39%",0.59,0.59," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.2,0.2,261,"73%",9.513439,78.85354228335,-78.853542
"Sk. Nurul Islam","Elected","18/05/2009","In office","West Bengal","Basirhat","All India Trinamool Congress","Male","Matric","ALIM; Educated at Khorki Sr. Madrasa",48,48,1,16,16,0,2,2,4,89,89,"44%",0.64,0.64," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.8,135,"72%",21.751962,75.0311223627935,-75.031122
"Sk. Saidul Haque","Elected","18/05/2009","In office","West Bengal","Bardhaman-Durgapur","Communist Party of India (Marxist)","Male","Post Graduate","M.A. (English), B.Ed.; Educated at Burdwan Raj College, Burdwan University",58,58,71,86,86,0,2,2,193,278,278,"97%",1.17,1.17," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.8,135,"72%",23.407779,87.6081350777633,-87.608135
"Sohan Potai","Elected","18/05/2009","In office","Chhattisgarh","Kanker","Bharatiya Janata Party","Male","Post Graduate","M.A. (Sociology); Educated at Pandit Ravi Shankar University, Raipur (Chhattisgarh) ",54,54,10,25,25,0,2,2,3,88,88,"70%",0.9,0.9," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",9.6,0.3,120,"64%",32.078418,76.3372031610008,-76.337203
"Solanki Dinubhai Boghabhal","Elected","18/05/2009","In office","Gujarat","Junagadh","Bharatiya Janata Party","Male","Graduate","B.A.",55,55,0,15,15,0,2,2,0,85,85,"17%",0.37,0.37,"Complete attendance for this MP is not available (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%","29/01/1900",1,276,"80%",21.270549,70.5522354303971,-70.552235
"Somabhai Gandalal Koli Patel","Elected","18/05/2009","In office","Gujarat","Surendranagar","Indian National Congress","Male","Under Matric","Educated at Viramgam Taluka Shala, Viramgam, Ahmedabad, Gujarat",72,72,1,16,16,0,2,2,6,91,91,"86%",1.06,1.06," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%","29/01/1900",1,276,"80%",22.767829,71.5667256716208,-71.566726
"Somendra Nath Mitra","Elected","18/05/2009","In office","West Bengal","Diamond Harbour","All India Trinamool Congress","Male","Graduate","B.Sc., LL.B.",68,68,1,16,16,0,2,2,191,276,276,"47%",0.67,0.67," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.8,135,"72%",21.131867,74.5282967041845,-74.528297
"Sonawane Pratap Narayanrao","Elected","18/05/2009","In office","Maharashtra","Dhule","Bharatiya Janata Party","Male","Graduate","B.E.(Civil); Educated at College of Engineering., Pune, (Maharashtra)",63,63,12,27,27,0,2,2,232,317,317,"52%",0.72,0.72," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",21.131867,74.5282967041845,-74.528297
"Sonia Gandhi","Elected","18/05/2009","In office","Uttar Pradesh","Rae Bareli","Indian National Congress","Female","Diploma Course","(i) Three years course in foreign languages (English & French) completed in 1964 at Istituto Santa Teresa, Turin (Italy); (ii) Certificate in English from Lennox Cook School, Cambridge (U.K.) completed in 1965.",65,65,1,16,16,0,2,2,0,85,85,"47%",0.67,0.67," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",26.207553,81.1477958597211,-81.147796
"Srikanta Kumar Jena","Elected","18/05/2009","In office","Orissa","Balasore","Indian National Congress","Male","Graduate","B.A.; Educated at Kendrapara College, Utkal University, Cuttack, Orissa",62,62,-3,12,12,-1,1,1,-10,75,75,-0.1,0.1,0.1,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",20.608713,83.1822365611442,-83.182237
"Subhash Bapurao Wankhede","Elected","18/05/2009","In office","Maharashtra","Hingoli","Shiv Sena","Male","Matric","Educated at Zilla Parishad School, Hadgaon, Maharashtra",49,49,10,25,25,0,2,2,283,368,368,"64%",0.84,0.84," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",23.892785,85.4762397111365,-85.47624
"Subodh Kant Sahay","Elected","18/05/2009","In office","Jharkhand","Ranchi","Indian National Congress","Male","Graduate","B.Sc., LL.B.; Educated at A.N. College, Patna and Ranchi University",61,61,-3,12,12,-1,1,1,-10,75,75,-0.1,0.1,0.1,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",23.142817,85.3856572150095,-85.385657
"Subrata Bakshi","Elected","21/12/2011","In office","West Bengal","Kolkata Dakshin","All India Trinamool Congress","Male","Professional Graduate","B.Sc., LL.B.",62,62,1,16,16,0,2,2,0,85,85,"31%",0.51,0.51," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",8,0.2,52,"77%",8.1,0.1,30,"72%",22.565845,88.3425015162713,-88.342502
"Sucharu Ranjan Haldar","Elected","18/05/2009","In office","West Bengal","Ranaghat","All India Trinamool Congress","Male","Post Graduate","M.B.B.S., DTM&H, DDV, M.D.; Educated at (i) Kanakrapara Municiapal Polytechnic High School, (ii) Hooghly Mohsin College, (iii) Medical College, Kolkata, (iv) Kolkata School of Tropical Medicine, (v) University College of Medicine (Kolkata University) and ",72,72,6,21,21,0,2,2,25,110,110,"82%",1.02,1.02," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.8,135,"72%",28.775336,79.1265012893445,-79.126501
"Sudarshan Bhagat","Elected","18/05/2009","In office","Jharkhand","Lohardaga","Bharatiya Janata Party","Male","Graduate","B.A. (Hons.); Educated at Kartik Uraon College, Gumla, University of Ranchi, Jharkhand",42,42,14,29,29,0,2,2,293,378,378,"87%",1.07,1.07," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",25.9,0.8,185,"65%",23.478016,84.6704500671423,-84.67045
"Sudip Bandyopadhyay","Elected","18/05/2009","In office","West Bengal","Kolkata Uttar","All India Trinamool Congress","Male","Graduate","B.Sc.; Educated at K.N. College, Berhampore, West Bengal",59,59,45,60,60,0,2,2,0,85,85,"89%",1.09,1.09,"This MP was appointed a minister in July, 2011.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 25th March, 2011. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",15.8,0.4,119,"77%",21.9,0.6,78,"72%",22.565845,88.3425015162713,-88.342502
"Sukender Reddy Gutha","Elected","18/05/2009","In office","Andhra Pradesh","Nalgonda","Indian National Congress","Male","Graduate","B.Sc.; Educated at Osmania University, Hyderabad, Andhra Pradesh",58,58,7,22,22,0,2,2,83,168,168,"64%",0.84,0.84," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",15.2,0.4,257,"70%",17.089423,79.3461315785414,-79.346132
"Sukhdev Singh Libra","Elected","18/05/2009","In office","Punjab","Fatehgarh Sahib","Indian National Congress","Male","Matric","Educated at Shri Guru Govind Singh High School, Khanna, Distt. Ludhiana, Punjab",79,79,8,23,23,0,2,2,85,170,170,"98%",1.18,1.18," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",19,0.6,127,"78%",30.571272,76.3130265366258,-76.313027
"Sultan Ahmed","Elected","18/05/2009","In office","West Bengal","Uluberia","All India Trinamool Congress","Male","Graduate","Calcutta University, West Bengal",59,59,-3,12,12,-1,1,1,-10,75,75,-0.1,0.1,0.1,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",25.087364,94.4348109940871,-94.434811
"Sumitra Mahajan","Elected","18/05/2009","In office","Madhya Pradesh","Indore","Bharatiya Janata Party","Female","Post Graduate","M.A., LL.B.; Educated at Indore University, Indore (Madhya Pradesh) ",69,69,42,57,57,2,4,4,440,525,525,"86%",1.06,1.06," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.5,0.1,174,"83%",22.711351,75.834422762684,-75.834423
"Supriya Sule","Elected","18/05/2009","In office","Maharashtra","Baramati","Nationalist Congress Party","Female","Graduate","B.Sc. (Microbiology); Educated at Jai Hind College, Mumbai, Maharashtra",43,43,30,45,45,5,7,7,604,689,689,"86%",1.06,1.06," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",26.938945,81.3951716218387,-81.395172
"Surendra Singh Nagar","Elected","18/05/2009","In office","Uttar Pradesh","Gautam Buddha Nagar","Bahujan Samaj Party","Male","Graduate","B.Com; Educated at SSV (PG) College, Hapur, Ghaziabad, Uttar Pradesh",47,47,21,36,36,0,2,2,272,357,357,"78%",0.98,0.98," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",28.378656,77.5214682882244,-77.521468
"Suresh Channabasappa Angadi","Elected","18/05/2009","In office","Karnataka","Belgaum","Bharatiya Janata Party","Male","Graduate","B. Com, LL.B. (Spl.); Educated at S.S. S. Samiti College of Commerce, Belgaum and; R.L. Law College, Belgaum",57,57,20,35,35,0,2,2,257,342,342,"75%",0.95,0.95," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",14.4,0.2,243,"70%",16.157548,74.7748688832476,-74.774869
"Suresh Kalmadi","Elected","18/05/2009","In office","Maharashtra","Pune","Indian National Congress","Male","Graduate","B.A.; Educated at Fergusson College, Pune, National Defence Academy, Kharakvasla and Air Force Flying College, Jodhpur and Allahabad",68,68,1,16,16,0,2,2,89,174,174,"43%",0.63,0.63," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",18.643497,74.2430615271017,-74.243062
"Suresh Kashinath Taware","Elected","18/05/2009","In office","Maharashtra","Bhiwandi","Indian National Congress","Male","Graduate","B.Com; Educated at B.N.N. College, Bhiwandi",52,52,10,25,25,0,2,2,129,214,214,"86%",1.06,1.06," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",26.349635,78.6771570946227,-78.677157
"Suresh Kodikunnil","Elected","18/05/2009","In office","Kerala","Mavelikkara","Indian National Congress","Male","Graduate","B.A., LL.B.; Educated at Government Law College, Trivandrum (Kerala) ",50,50,65,80,80,4,6,6,669,754,754,"82%",1.02,1.02," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%","18/02/1900",1.1,299,"84%",26.037995,83.5526322273334,-83.552632
"Suresh Kumar Shetkar","Elected","18/05/2009","In office","Andhra Pradesh","Zahirabad","Indian National Congress","Male","Graduate","B.Sc. (Agriculture); Educated at Marathwada Agricultural University Parbhani, Maharashtra",52,52,17,32,32,0,2,2,567,652,652,"76%",0.96,0.96," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",15.2,0.4,257,"70%",20.063889,78.2184723916635,-78.218472
"Sushil Kumar Sambhajirao Shinde","Elected","18/05/2009","In office","Maharashtra","Solapur","Indian National Congress","Male","Graduate","B.A. (Hons.), LL.B.; Educated at Sangameshwar and Dayanand College, Solapur, Shivaji University, Kolhapur and New Law College, Mumbai University , Maharashtra",71,71,-3,12,12,-1,1,1,-10,75,75,-0.1,0.1,0.1,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",17.834157,75.5191695256309,-75.51917
"Sushil Kumar Singh","Elected","18/05/2009","In office","Bihar","Aurangabad","Janata Dal (United)","Male","Post Graduate","M.A. (Political Science); Educated at A.N. College, Magadh University, Patna (Bihar) ",49,49,31,46,46,0,2,2,256,341,341,"76%",0.96,0.96," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.5,235,"87%",20.024412,75.2429987998096,-75.242999
"Sushila Saroj","Elected","18/05/2009","In office","Uttar Pradesh","Mohanlalganj","Samajwadi Party","Female","Post Graduate","M.A., B.Ed., LL.B.; Educated at Lucknow, Gorakhpur University, Uttar Pradesh",61,61,21,36,36,0,2,2,454,539,539,"88%",1.08,1.08," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",30.80022,75.194338997785,-75.194339
"Sushma Swaraj","Elected","18/05/2009","In office","Madhya Pradesh","Vidisha","Bharatiya Janata Party","Female","Graduate","B.A., L.L.B.; Educated at S.D. College, Ambala Cantt. (Haryana) and Law Deptt. Panjab University, Chandigarh",60,60,82,97,97,1,3,3,43,128,128,"94%",1.14,1.14,"This MP was appointed the Leader of Opposition at the end of Winter Session, 2009 and hence, is not required to sign the attendance register. Attendance is thus available only till 21st December, 2009. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.5,0.1,174,"83%",23.846779,77.7792657024603,-77.779266
"Susmita Bauri","Elected","18/05/2009","In office","West Bengal","Bishnupur","Communist Party of India (Marxist)","Female","Graduate","LL.B.; Educated at Hazra, Law College, Calcutta University, West Bengal",37,37,25,40,40,0,2,2,33,118,118,"94%",1.14,1.14," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.8,135,"72%",24.511379,93.8002565126166,-93.800257
"Suvendu Adhikari","Elected","18/05/2009","In office","West Bengal","Tamluk","All India Trinamool Congress","Male","Graduate","B.A. (Hons.); Educated at Contai P. K. College",41,41,10,25,25,0,2,2,61,146,146,"24%",0.44,0.44," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.8,135,"72%",24.977498,93.5517615062126,-93.551762
